对赌协议的18个致命陷阱	很多创业者对对赌协议谈虎色变，代价往往让人又爱又恨。作为舶来品，对赌引进中国后，却已然变味，企业方处于相对弱势地位，签订“不平等条约”。越来越多对簿公堂的事件发生。所以你一定要擦亮眼睛，否则一不小心就将陷入万劫不复的深渊。
叶檀：地产是经济发展的象征房产税难让人信服	房产税构成呼之欲出，若不清理税费，不同步建立公共财政体制，显然难让人信服。笔者支持征收房产税，但强调清理税费的必要性，不公开的财政体系，将让增税收费失去说服力。房地产市场是中国经济发展的象征，建立公共财政改变卖地财政，才能治本。
沃尔玛低头认错:召回卖场所卖相关商品给予补偿	所售驴肉制品被检测出是狐狸肉的零售巨头沃尔玛终于肯低头认错了。在2013年的最后一天，沃尔玛宣布召回济南卖场所售的相关商品，并承诺将对购买过该产品的顾客给予补偿。沃尔玛将对每袋原价10.9元的商品，补偿顾客50元。
楼继伟：明年将扩大部门预决算公开范围	中国正努力让财政的钱花得更透明。财政部长楼继伟在北京表示，2014年，要扩大部门预决算公开范围。除涉密部门外，中央和地方所有使用财政拨款的部门均应公开本部门预决算。楼继伟介绍了明年预算管理制度改革的七项重点。
未来黄金投资怎么玩	市场人士预言，2014年将有多重利好推动金价王者归来。不过，许多国际机构及黄金专家对今年的黄金走势仍然表示悲观，甚至认为黄金牛市已彻底终结，市场已经转熊。在后市行情颇为难料的背景下，如果你有意投资黄金，同时愿意长期坚持，或许定投是一种选择。
新能源汽车成政策宠儿基金加大配置力度	近日新能源汽车行业利好频传。据金牛理财网统计，一季度布局新能源汽车概念股的主动偏股型基金多达254只，比2013年四季度时增加了近100只左右。这些基金重仓持有的新能源汽车概念上市公司达到34家，比上一个季度翻了近一倍左右。
从国富基金到纽银西部：谁逼走了管理团队	“这两公司均是中外股东内耗导致公司经营受到巨大影响的负面案例，他们遇到的很多问题都有必然性，很多公司有同样的问题，或者没有曝出，或者没这么严重。”作为合资基金公司经营的样本，这两公司无疑是研究中外方股东关系问题的最佳对象
新《环保法》元旦起实施企业违法可拘留责任人	正式实施的新《环保法》对企业惩治力度大大加强，受到罚款处罚，被责令改正，拒不改正的，依法作出处罚决定的行政机关可以自责令更改之日的次日起，按照原处罚数额按日连续处罚。企业违法可拘留责任人。
今年药品定价机制将出明年全面推公立医院改革	据了解，公立医院层面的改革分为两个层面：县级公立医院和城市公立医院改革。据梁万年透露，2015年全国县级公立医院综合改革要全面推开，“这是当前的重中之重”。2014年底，国家发改委将专门针对药品定价机制形成文件。
多名高管被调查神华反腐“不会草草收场”	12月22日，神华宣布免去集团总经理助理张文江，神华宁煤监局主任师刘宝龙二人的职位，翌日，神华再次宣布原副总裁华泽桥涉嫌严重违纪违法正接受调查。内部人士分析，上述被调查高管或主要涉及新建项目招投标、收受贿赂等问题。
外资银行准入门槛降低中国银行业开放提速	李克强近日签署第657号国务院令，公布修改后的《中华人民共和国外资银行管理条例》。修改后的条例对外资银行在中国境内机构设立、业务准入等方面降低了门槛，放松了对外资银行的限制，标志着中国银行业对外开放的步伐进一步加快。
香港全民炒iPhone6利润率最少100%	以最抢手的128G金色iPhone6Plus为例，目前香港开出的收购价在1.8万至2万港元，相比8088港元的售价，转售利润率高达247%。从iPhone4热卖开始，香港就一直活跃着遍布各行各业的“黄牛党”，毫不夸张的说，全民参与，人人有份。